UUID,TestItem,TestValue
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_blue_Sample#1_Exit#1_Camera#1,0.43799999999999994
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_blue_Sample#1_Exit#1_Camera#1,0.531
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_blue_Sample#1_Exit#1_Camera#1,23
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_blue_Sample#1_Exit#1_Camera#1,29
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_blue_Sample#1_Exit#1_Camera#1,-0.3383333333333333
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_blue_Sample#1_Exit#1_Camera#1,-0.011666666666666665
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_blue_Sample#1_Exit#1_Camera#1,0.496
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_blue_Sample#1_Exit#1_Camera#1,0.461
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_blue_Sample#1_Exit#1_Camera#1,28
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_blue_Sample#1_Exit#1_Camera#1,23
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_blue_Sample#1_Exit#1_Camera#1,-0.6516666666666667
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_blue_Sample#1_Exit#1_Camera#1,-0.20666666666666667
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_blue_Sample#1_Exit#1_Camera#1,0.5379999999999999
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_blue_Sample#1_Exit#1_Camera#1,0.442
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_blue_Sample#1_Exit#1_Camera#1,29
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_blue_Sample#1_Exit#1_Camera#1,22
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_blue_Sample#1_Exit#1_Camera#1,-0.22833333333333333
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_blue_Sample#1_Exit#1_Camera#1,-0.385
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_red_Sample#1_Exit#1_Camera#1,0.537
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_red_Sample#1_Exit#1_Camera#1,0.317
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_red_Sample#1_Exit#1_Camera#1,21
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_red_Sample#1_Exit#1_Camera#1,16
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_red_Sample#1_Exit#1_Camera#1,-0.5233333333333333
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_red_Sample#1_Exit#1_Camera#1,0.75
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_red_Sample#1_Exit#1_Camera#1,0.542
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_red_Sample#1_Exit#1_Camera#1,0.433
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_red_Sample#1_Exit#1_Camera#1,22
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_red_Sample#1_Exit#1_Camera#1,20
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_red_Sample#1_Exit#1_Camera#1,-0.8566666666666667
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_red_Sample#1_Exit#1_Camera#1,1.1766666666666665
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_red_Sample#1_Exit#1_Camera#1,0.585
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_red_Sample#1_Exit#1_Camera#1,0.37799999999999995
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_red_Sample#1_Exit#1_Camera#1,24
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_red_Sample#1_Exit#1_Camera#1,17
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_red_Sample#1_Exit#1_Camera#1,0.31333333333333335
