SampleID,Date,Trial,Operator,Dicing,Color,TP_Blue,TP_Green,TP_Red,Angular uniformity,Spatial uniformity,CU_Blue,CU_Green,CU_Red,Center contrast_Blue,Center contrast_Green,Center contrast_Red,Mean contrast_Blue,Mean contrast_Green,Mean contrast_Red
19B157.01.21,8-Jan,2,P,Y,Red,0.001369,0.003936,0.004780,363.728124,3.858072,6.986874,6.299438,27.523309,3.576183,4.822108,5.877014,4.852450,4.750263,7.308283
19B157.01.22,8-Jan,2,P,Y,Red,0.001334,0.003605,0.004012,227.155057,2.851616,8.946423,6.100367,18.609363,3.313415,4.447512,5.762471,4.643374,4.561921,5.707678
19B157.01.31,8-Jan,2,P,Y,Red,0.001528,0.004568,0.005982,731.457980,2.875357,9.454346,6.065313,30.349430,2.259421,2.998595,2.744072,4.455602,4.414537,9.027514
19B157.01.32,8-Jan,2,P,Y,Red,0.001434,0.004143,0.005139,686.529087,3.280846,9.285662,5.496146,30.890043,2.412171,2.935441,3.755750,4.458611,4.604052,8.701576
19B157.01.11,8-Jan,3,P,Y,Red,0.001556,0.004287,0.004613,578.336801,3.299151,8.765423,4.979396,26.905505,2.794562,3.745456,4.217329,4.090676,4.387603,7.144488
19B157.01.12,8-Jan,3,P,Y,Red,0.001456,0.004160,0.005075,379.519625,2.970510,8.099457,6.243435,23.235858,3.175376,4.076621,4.679877,5.472394,5.473740,8.142479
19B157.01.21,8-Jan,3,P,Y,Red,0.001349,0.003874,0.004760,410.666930,3.720592,7.524734,6.383180,23.602804,3.503822,4.692360,5.939869,4.728422,4.653929,7.166445
19B157.01.22,8-Jan,3,P,Y,Red,0.001310,0.003531,0.003981,219.455851,2.749432,7.767005,6.064729,16.642906,3.269426,4.391214,5.768094,4.528942,4.491768,5.576953
19B157.01.31,8-Jan,3,P,Y,Red,0.001491,0.004519,0.006296,721.297587,2.973269,10.283968,6.217941,30.220845,2.303799,3.066732,2.845535,4.418764,4.358840,8.979720
19B157.01.32,8-Jan,3,P,Y,Red,0.001275,0.003800,0.005573,664.291059,3.427475,7.363732,5.715455,31.581221,2.546371,2.974655,3.927306,4.260224,4.407226,8.213547
19B157.06.11,8-Jan,1,P,Y,Red,0.001651,0.004649,0.005531,1404.288988,3.517478,9.731530,6.339443,30.556748,3.041699,4.488979,3.311303,4.789595,5.231318,12.610470
19B157.06.12,8-Jan,1,P,Y,Red,0.001474,0.004416,0.005714,406.120489,3.818177,7.597324,5.343236,26.080907,3.459277,5.232029,4.922930,5.403280,5.748966,8.961795
19B157.06.21,8-Jan,1,P,Y,Red,0.001643,0.004453,0.004169,226.302782,4.095102,8.793385,4.888282,18.312526,3.436265,5.345863,4.315288,4.432500,4.764272,6.027179
